ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
2 1.017 1 0 0 0 False
2 1.03 1 0 0 0 False
2 15.106 2 0 0 0 False
2 16.124 2 0 0 0 False
2 31.212 3 0 0 0 False
2 31.224 3 0 0 0 False
2 46.286 4 0 0 0 False
2 82.424 3 0 6 0 False
2 82.437 4 0 6 0 False
2 82.449 5 0 6 0 False
2 82.462 6 0 6 0 False
2 90.493 7 0 9 0 False
2 91.554 7 0 9 0 False
2 106.612 8 2640363 12 8 False
2 149.756 9 2368394 19 15 False
2 149.773 10 2368394 19 15 False
2 149.786 11 2368394 19 15 False
2 165.849 12 2368394 22 15 False
2 184.94 13 2368394 22 15 False
2 198.02 14 2368394 25 15 False
2 214.09 15 2407187 27 23 False
2 229.179 16 2407187 30 23 False
2 244.285 17 2407187 35 23 False
2 296.476 18 2404889 43 39 True
2 296.508 19 2404889 43 39 True
