ID TIME CPU RAM KB
2 1.003 15.9 70.8 180
2 11.051 1.8 71.5 180
2 21.137 3.8 70.7 184
2 31.168 1.9 70.8 184
2 41.254 1.7 71.0 184
2 51.305 2.2 71.0 188
2 61.338 2.1 71.1 188
2 71.368 1.9 71.3 188
2 81.402 1.9 71.4 188
2 91.503 2.0 71.4 208
2 101.588 2.1 71.7 208
2 111.621 4.9 71.5 212
2 121.638 7.0 71.6 212
2 131.655 3.2 71.6 212
2 141.681 3.7 71.6 212
2 151.797 1.9 71.4 220
2 161.823 6.5 71.5 220
2 171.867 10.3 71.6 224
2 181.901 9.0 71.7 224
2 191.96 9.2 71.8 224
2 202.035 7.2 71.9 224
2 212.067 5.6 71.9 224
2 222.114 6.3 71.8 228
2 232.193 4.7 71.8 232
2 242.222 5.9 71.9 232
2 252.302 6.4 72.0 236
2 262.33 4.8 72.1 236
2 272.358 3.2 72.0 236
2 282.381 4.5 72.1 236
2 292.403 7.9 72.3 236
2 302.527 14.4 72.3 240
2 312.553 6.2 72.3 240
