ID TIME CPU RAM KB
12 1.01 16.8 74.9 180
12 11.089 2.1 75.0 180
12 21.125 2.3 75.0 180
12 31.197 4.0 75.2 184
12 41.226 2.3 75.3 184
12 51.311 2.1 75.4 184
12 61.338 2.3 75.6 184
12 71.371 2.4 75.6 184
12 81.456 3.1 75.8 188
12 91.479 3.0 76.0 188
12 101.54 2.5 76.3 192
12 111.563 2.1 75.7 192
12 121.59 1.9 75.7 192
12 131.621 2.1 75.8 192
12 141.651 2.2 75.9 192
12 151.688 4.0 75.9 200
12 161.734 2.1 76.1 204
12 171.78 2.3 76.0 208
12 181.806 2.2 76.1 208
12 191.854 2.4 76.3 212
12 201.885 2.4 76.4 212
12 211.94 2.4 76.3 212
12 221.993 2.4 76.4 216
12 232.02 2.7 76.3 216
12 242.051 2.3 76.3 216
12 252.081 2.2 76.4 216
12 262.111 2.6 76.5 216
12 272.136 4.0 76.6 216
12 282.168 2.3 76.6 216
12 292.222 2.2 76.6 216
12 302.332 2.5 76.5 232
12 312.367 2.5 76.7 232
12 322.414 2.2 76.8 244
12 332.507 2.9 77.1 248
12 342.591 2.4 77.3 252
12 352.625 2.2 77.3 252
12 362.658 2.3 77.3 252
12 372.692 2.1 77.3 252
12 382.723 2.3 77.4 252
12 392.743 4.5 77.9 252
12 402.781 19.6 77.3 256
12 412.812 2.1 77.3 256
12 422.84 2.2 77.3 260
12 432.903 1.9 77.2 260
12 442.969 2.3 77.4 272
12 452.999 2.4 77.6 272
12 463.048 2.1 77.8 276
12 473.08 2.2 77.8 276
12 483.113 2.1 77.7 276
12 493.147 2.3 77.5 276
12 503.181 2.6 77.5 276
12 513.212 2.2 77.6 276
12 523.242 3.2 77.6 276
12 533.274 1.3 77.7 276
12 543.308 1.4 77.7 276
12 553.342 1.4 77.6 276
12 563.377 1.5 77.6 276
12 573.41 1.5 77.7 276
12 583.438 1.3 77.7 276
12 593.464 1.4 77.7 276
12 603.497 1.3 77.5 276
12 613.531 1.4 77.4 276
12 623.562 1.7 77.5 276
12 633.59 1.6 77.6 276
12 643.619 3.0 77.6 276
12 653.651 1.3 77.5 276
12 663.676 1.3 77.5 276
12 673.708 1.3 77.4 276
12 683.741 1.5 77.4 276
12 693.774 1.5 77.4 276
12 703.801 1.8 77.3 276
12 713.83 1.3 77.3 276
12 723.863 1.3 77.4 276
12 733.891 1.3 77.4 276
12 743.919 1.3 77.6 276
12 753.953 1.4 77.6 276
12 763.978 2.3 78.9 276
12 774.008 2.7 77.3 276
12 784.041 1.4 77.3 276
12 794.07 1.5 77.5 276
12 804.097 1.6 77.6 276
12 814.126 1.6 77.7 276
12 824.158 1.6 77.4 276
12 834.191 2.5 77.3 276
12 844.217 5.9 76.6 276
12 854.246 1.8 76.7 276
12 864.274 3.4 76.7 276
12 874.304 3.5 76.8 276
12 884.336 5.1 76.7 276
12 894.364 4.4 76.6 276
12 904.392 2.7 76.6 276
12 914.423 4.0 76.6 276
12 924.452 5.1 76.7 276
12 934.472 12.2 77.9 276
