ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
12 1.057 1 0 0 0 False
12 27.157 1 0 0 0 False
12 27.169 2 0 0 0 False
12 30.194 3 0 0 0 False
12 44.287 4 0 0 0 False
12 71.421 5 0 3 0 False
12 80.453 6 0 3 0 False
12 95.519 7 0 9 0 False
12 146.677 6 0 0 0 False
12 154.71 7 0 7 0 False
12 170.771 8 0 12 0 False
12 190.845 9 0 14 0 False
12 202.911 10 2342670 19 12 False
12 214.973 11 2342670 19 12 False
12 283.193 12 2342670 19 12 False
12 294.285 12 2342670 21 12 False
12 294.306 13 2342670 21 12 False
12 313.387 13 2342670 26 12 False
12 313.399 14 2342670 26 12 False
12 324.485 15 2342670 28 12 False
12 338.574 16 2438665 30 24 False
12 401.777 17 2438665 31 24 False
12 422.874 18 2438665 35 24 False
12 440.941 19 2438665 35 24 False
12 441.96 20 2438665 38 24 False
12 458.029 21 2442532 41 36 True
