ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
6 1.02 1 0 0 0 False
6 1.035 1 0 0 0 False
6 14.079 2 0 0 0 False
6 29.138 3 0 0 0 False
6 31.2 3 0 0 0 False
6 44.253 4 0 0 0 False
6 59.317 5 0 1 0 False
6 89.437 6 0 9 0 False
6 89.451 7 0 9 0 False
6 107.519 8 2709130 12 8 False
6 119.569 9 2709130 14 8 False
6 134.625 10 2709130 18 8 False
6 150.689 11 2368394 19 15 False
6 151.718 11 2368394 19 15 False
6 165.801 12 2368394 22 15 False
6 217.003 12 2407187 27 23 False
6 217.021 13 2407187 27 23 False
6 217.034 14 2407187 27 23 False
6 217.046 15 2407187 27 23 False
6 229.117 16 2407187 30 23 False
6 245.214 17 2407187 32 23 False
6 261.265 18 2393981 37 31 True
6 273.332 19 2409564 42 39 True
