ID TIME TELAPSED TIMESTAMP BLOCK SIZE TXS UNC
6 1.02 2.666618824005127 1754765434 1 610 0 0
6 1.035 2.68146014213562 1754765434 1 610 0 0
6 14.079 0.726055383682251 1754765449 2 610 0 0
6 29.138 0.7852635383605957 1754765464 3 1239 6 0
6 31.2 2.846989154815674 1754765464 3 1447 8 0
6 44.253 0.8998162746429443 1754765479 4 1031 4 0
6 59.317 0.9643242359161377 1754765494 5 759 1 0
6 89.437 16.08370065689087 1754765509 6 1652 8 0
6 89.451 1.0976636409759521 1754765524 7 1466 7 0
6 107.519 4.166273355484009 1754765539 8 1882 11 0
6 119.569 1.215467929840088 1754765554 9 1945 12 0
6 134.625 1.2715928554534912 1754765569 10 1299 5 0
6 150.689 2.336186170578003 1754765584 11 863 2 0
6 151.718 3.3653414249420166 1754765584 11 1072 4 0
6 165.801 2.448040723800659 1754765599 12 1882 11 0
6 217.003 53.64999771118164 1754765599 12 1882 11 0
6 217.021 34.66782259941101 1754765618 13 610 0 0
6 217.034 19.680761098861694 1754765633 14 1465 7 0
6 217.046 4.693065881729126 1754765648 15 1529 8 0
6 229.117 1.7637741565704346 1754765663 16 1778 10 0
6 245.215 2.861422538757324 1754765678 17 1529 8 0
6 261.265 3.9114902019500732 1754765693 18 1113 4 0
6 273.332 0.9790401458740234 1754765708 19 2068 12 0
