ID TIME CPU RAM KB
6 1.003 16.1 70.8 180
6 11.06 2.0 72.0 180
6 21.091 3.5 70.7 180
6 31.15 2.1 70.8 184
6 41.23 1.5 71.0 184
6 51.276 2.3 71.1 184
6 61.328 2.2 71.2 188
6 71.362 1.8 71.3 188
6 81.398 1.9 71.4 188
6 91.462 2.0 71.4 196
6 101.493 2.1 71.8 196
6 111.533 4.8 71.5 200
6 121.576 7.0 71.5 204
6 131.604 3.2 71.6 204
6 141.646 3.7 71.7 204
6 151.699 1.9 71.5 208
6 161.748 6.8 71.5 208
6 171.819 10.4 71.6 212
6 181.852 9.0 71.7 212
6 191.879 9.5 71.8 212
6 201.906 7.0 71.9 212
6 211.938 5.3 71.9 212
6 222.056 6.3 71.8 220
6 232.125 5.2 71.8 224
6 242.155 5.6 71.9 224
6 252.231 6.3 72.0 224
6 262.272 4.8 72.1 232
6 272.302 3.5 72.1 232
6 282.359 4.2 72.1 232
6 292.388 9.4 72.3 232
6 302.418 13.2 72.4 232
6 312.441 6.0 72.3 232
