ID TIME TELAPSED TIMESTAMP BLOCK SIZE TXS UNC
3 1.06 2.494014024734497 1754765434 1 610 0 0
3 14.107 0.5414910316467285 1754765449 2 610 0 0
3 31.178 2.612194776535034 1754765464 3 1343 7 0
3 31.19 1.624000072479248 1754765465 3 610 0 0
3 46.253 1.6869878768920898 1754765480 4 1343 7 0
3 94.378 65.81198811531067 1754765464 3 1447 8 0
3 94.397 50.83119058609009 1754765479 4 1031 4 0
3 94.41 35.84429168701172 1754765494 5 759 1 0
3 94.422 20.85602045059204 1754765509 6 1652 8 0
3 94.434 5.8678247928619385 1754765524 7 1466 7 0
3 104.477 0.9113194942474365 1754765539 8 1882 11 0
3 119.534 0.968327522277832 1754765554 9 1945 12 0
3 137.617 4.050824403762817 1754765569 10 1299 5 0
3 148.676 0.10993480682373047 1754765584 11 1072 4 0
3 183.814 20.248435735702515 1754765599 12 1882 11 0
3 183.833 1.266930341720581 1754765618 13 610 0 0
3 197.885 0.3193221092224121 1754765633 14 1465 7 0
3 213.968 1.401811122894287 1754765648 15 1529 8 0
3 228.06 0.49428224563598633 1754765663 16 1778 10 0
3 246.163 3.5970351696014404 1754765678 17 2172 13 0
3 260.21 2.643819570541382 1754765693 18 1507 7 0
3 260.222 2.6563501358032227 1754765693 18 1113 4 0
3 274.287 1.7213902473449707 1754765708 19 2068 12 0
3 290.329 2.7631947994232178 1754765723 20 1154 4 0
