ID TIME CPU RAM KB
3 1.01 16.4 70.8 176
3 11.084 2.0 71.9 176
3 21.132 3.6 70.7 180
3 31.16 2.0 70.8 184
3 41.221 1.6 71.0 184
3 51.263 2.3 71.1 184
3 61.28 2.2 71.1 184
3 71.295 1.8 71.3 184
3 81.314 1.9 71.4 184
3 91.336 2.0 71.4 184
3 101.449 2.1 71.7 196
3 111.497 4.8 71.5 196
3 121.546 7.0 71.5 200
3 131.58 3.2 71.6 204
3 141.634 3.7 71.6 204
3 151.69 1.9 71.4 208
3 161.723 6.7 71.5 208
3 171.752 10.3 71.6 208
3 181.78 9.0 71.7 208
3 191.858 9.1 71.8 212
3 201.899 7.3 71.9 212
3 211.932 5.5 71.9 212
3 221.992 6.3 71.8 216
3 232.078 4.8 71.8 220
3 242.112 5.8 71.9 220
3 252.179 6.4 72.0 224
3 262.236 4.8 72.1 228
3 272.268 3.3 72.0 228
3 282.3 4.4 72.1 228
3 292.335 8.5 72.3 232
3 302.354 13.9 72.3 232
3 312.373 6.1 72.3 232
