ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
3 1.06 1 0 0 0 False
3 14.107 2 0 0 0 False
3 31.178 3 0 0 0 False
3 31.19 3 0 0 0 False
3 46.253 4 0 0 0 False
3 94.378 3 0 9 0 False
3 94.397 4 0 9 0 False
3 94.41 5 0 9 0 False
3 94.422 6 0 9 0 False
3 94.434 7 0 9 0 False
3 104.477 8 2709130 12 8 False
3 119.534 9 2709130 14 8 False
3 137.617 10 2709130 18 8 False
3 148.676 11 2368394 19 15 False
3 183.814 12 2368394 22 15 False
3 183.833 13 2368394 22 15 False
3 197.885 14 2368394 25 15 False
3 213.968 15 2407187 27 23 False
3 228.06 16 2407187 30 23 False
3 246.163 17 2407187 35 23 False
3 260.21 18 2393981 37 31 True
3 260.222 18 2393981 37 31 True
3 274.287 19 2409564 42 39 True
3 290.329 20 2409564 45 39 True
