ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
7 1.06 1 0 0 0 False
7 31.2 1 0 0 0 False
7 31.217 2 0 0 0 False
7 31.229 3 0 0 0 False
7 43.277 3 0 0 0 False
7 43.29 3 0 0 0 False
7 46.317 4 0 0 0 False
7 56.393 4 0 0 0 False
7 61.441 5 0 2 0 False
7 66.475 5 0 1 0 False
7 75.532 6 0 6 0 False
7 113.656 7 2640363 12 8 False
7 113.669 8 2640363 12 8 False
7 123.723 9 2640363 13 8 False
7 157.805 10 2368394 19 15 False
7 157.821 11 2368394 19 15 False
7 165.864 12 2368394 22 15 False
7 181.967 13 2368394 22 15 False
7 199.035 14 2368394 25 15 False
7 213.104 15 2407187 27 23 False
7 229.158 16 2407187 30 23 False
7 245.238 17 2407187 35 23 False
7 260.294 18 2393981 40 31 True
7 275.352 19 2404889 43 39 True
7 288.403 20 2404889 44 39 True
