ID TIME CPU RAM KB
7 1.007 16.8 70.8 176
7 11.086 1.9 71.3 176
7 21.116 3.8 70.6 176
7 31.149 1.9 70.8 180
7 41.256 1.7 70.9 180
7 51.329 2.2 71.1 188
7 61.411 2.1 71.1 188
7 71.503 1.9 71.3 196
7 81.554 1.9 71.4 196
7 91.577 2.1 71.4 200
7 101.608 2.0 71.7 200
7 111.634 4.8 71.5 200
7 121.694 7.0 71.5 208
7 131.744 3.2 71.5 208
7 141.763 3.7 71.6 208
7 151.779 1.9 71.4 208
7 161.837 6.1 71.5 220
7 171.885 10.8 71.6 224
7 181.916 8.9 71.7 224
7 191.987 9.2 71.8 224
7 202.05 7.2 71.9 228
7 212.082 5.8 71.9 228
7 222.128 6.3 71.8 232
7 232.173 4.7 71.8 236
7 242.198 5.8 71.9 236
7 252.261 6.4 72.0 240
7 262.301 4.8 72.1 240
7 272.327 3.2 72.0 240
7 282.371 4.5 72.1 244
7 292.416 7.4 72.3 244
7 302.439 15.0 72.2 244
7 312.464 6.2 72.3 244
