ID TIME CPU RAM KB
8 1.01 14.3 70.8 176
8 11.051 2.0 72.0 176
8 21.082 3.5 70.7 180
8 31.184 2.1 70.8 184
8 41.219 1.5 71.0 184
8 51.278 2.3 71.1 184
8 61.327 2.2 71.2 188
8 71.432 1.8 71.3 188
8 81.485 1.9 71.4 200
8 91.572 2.0 71.4 200
8 101.607 2.1 71.8 200
8 111.671 4.8 71.5 204
8 121.697 7.0 71.5 204
8 131.755 3.1 71.6 212
8 141.79 3.7 71.6 216
8 151.831 1.9 71.5 216
8 161.86 6.8 71.5 216
8 171.888 10.5 71.6 216
8 181.919 8.9 71.7 216
8 192.024 9.4 71.8 220
8 202.066 7.0 71.9 224
8 212.093 5.3 71.9 224
8 222.136 6.3 71.8 224
8 232.168 5.2 71.8 228
8 242.196 5.6 71.9 228
8 252.24 6.3 72.0 232
8 262.276 4.8 72.1 232
8 272.302 3.5 72.1 232
8 282.394 4.2 72.1 236
8 292.423 9.4 72.3 236
8 302.453 13.2 72.4 236
8 312.477 6.0 72.3 236
