ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
8 1.025 1 0 0 0 False
8 21.106 1 0 0 0 False
8 21.119 2 0 0 0 False
8 29.173 3 0 0 0 False
8 45.255 4 0 0 0 False
8 55.307 4 0 0 0 False
8 61.38 5 0 2 0 False
8 65.41 5 0 1 0 False
8 75.462 6 0 6 0 False
8 90.562 7 0 9 0 False
8 104.65 8 2640363 12 8 False
8 123.718 8 2709130 14 8 False
8 123.731 9 2709130 14 8 False
8 134.776 10 2709130 18 8 False
8 148.818 11 2368394 19 15 False
8 183.98 12 2368394 22 15 False
8 183.998 13 2368394 22 15 False
8 198.056 14 2368394 25 15 False
8 213.118 15 2407187 27 23 False
8 228.159 16 2407187 30 23 False
8 244.216 17 2407187 35 23 False
8 259.268 18 2393981 40 31 True
8 274.367 19 2404889 43 39 True
