ID TIME CPU RAM KB
11 1.004 15.4 74.8 180
11 11.062 2.2 75.0 180
11 21.096 2.3 75.0 180
11 31.124 4.0 75.2 180
11 41.156 2.4 75.3 180
11 51.189 2.1 75.4 180
11 61.273 2.3 75.5 184
11 71.302 2.4 75.6 184
11 81.427 3.0 75.7 192
11 91.459 2.9 76.0 192
11 101.502 2.8 76.3 196
11 111.533 2.0 75.7 196
11 121.567 1.9 75.7 196
11 131.602 2.1 75.7 196
11 141.637 2.2 75.8 196
11 151.667 3.8 75.9 196
11 161.701 2.3 76.0 196
11 171.731 2.2 76.2 196
11 181.807 2.1 76.1 208
11 191.85 2.5 76.2 216
11 201.876 2.2 76.3 216
11 211.907 2.4 76.5 216
11 221.927 2.6 76.4 216
11 231.961 2.8 76.3 216
11 241.984 2.3 76.3 216
11 252.009 2.3 76.4 216
11 262.041 2.5 76.5 216
11 272.066 3.7 79.1 216
11 282.096 2.7 76.6 216
11 292.129 2.2 76.6 216
11 302.186 2.5 76.5 224
11 312.215 2.5 76.6 224
11 322.25 2.0 76.9 224
11 332.281 3.0 77.1 224
11 342.312 2.5 77.3 224
11 352.392 2.3 77.2 240
11 362.425 2.2 77.3 240
11 372.46 2.1 77.3 240
11 382.492 2.2 77.5 240
11 392.52 3.0 77.2 240
11 402.568 21.2 77.3 244
11 412.636 2.2 77.3 244
11 422.696 2.1 77.4 252
11 432.727 2.0 77.2 252
11 442.774 2.3 77.4 260
11 452.801 2.5 77.7 260
11 462.826 2.1 77.8 260
11 472.857 2.2 77.8 260
11 482.888 2.0 77.7 260
11 492.91 2.3 77.5 260
11 502.985 2.5 77.5 288
11 513.07 2.2 77.6 292
11 523.114 3.1 77.6 292
11 533.149 1.3 77.7 292
11 543.183 1.4 77.7 292
11 553.214 1.4 77.5 292
11 563.247 1.5 77.6 292
11 573.281 1.5 77.7 292
11 583.315 1.3 77.7 292
11 593.346 1.4 77.7 292
11 603.382 1.3 77.5 292
11 613.413 1.4 77.4 292
11 623.447 1.7 77.5 292
11 633.482 1.5 77.6 292
11 643.514 3.0 77.6 292
11 653.546 1.3 77.5 292
11 663.573 1.4 77.5 292
11 673.605 1.2 77.4 292
11 683.638 1.5 77.4 292
11 693.67 1.5 77.4 292
11 703.703 1.8 77.4 292
11 713.733 1.4 77.3 292
11 723.762 1.3 77.4 292
11 733.792 1.3 77.4 292
11 743.823 1.4 77.6 292
11 753.853 1.3 77.6 292
11 763.879 2.0 78.4 292
11 773.907 3.0 77.3 292
11 783.935 1.3 77.3 292
11 793.966 1.4 77.4 292
11 803.996 1.5 77.6 292
11 814.03 1.8 77.6 292
11 824.063 1.6 77.4 292
11 834.097 2.6 77.3 292
11 844.121 5.2 76.3 292
11 854.154 2.2 76.6 292
11 864.183 3.7 76.7 292
11 874.207 3.4 76.8 292
11 884.226 4.9 76.6 292
11 894.256 4.7 76.6 292
11 904.284 2.8 76.6 292
11 914.315 3.7 76.7 292
11 924.349 4.4 76.8 292
11 934.377 12.0 77.6 292
