ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
11 1.031 1 0 0 0 False
11 58.222 1 0 0 0 False
11 58.235 2 0 0 0 False
11 58.247 3 0 0 0 False
11 60.264 4 0 0 0 False
11 75.362 5 0 0 0 False
11 80.389 4 0 3 0 False
11 80.404 5 0 3 0 False
11 80.417 6 0 3 0 False
11 96.486 7 0 9 0 False
11 180.772 6 0 13 0 False
11 180.785 7 0 13 0 False
11 180.798 8 0 13 0 False
11 185.836 9 0 14 0 False
11 222.946 10 0 14 0 False
11 294.152 11 2342670 21 12 False
11 294.168 12 2342670 21 12 False
11 345.332 13 2342670 28 12 False
11 345.344 14 2342670 28 12 False
11 345.356 15 2342670 28 12 False
11 345.368 16 2342670 28 12 False
11 399.559 16 2438665 30 24 False
11 402.605 17 2438665 31 24 False
11 421.68 17 2438665 31 24 False
11 421.692 17 2438665 31 24 False
11 438.758 18 2438665 33 24 False
11 499.934 20 2442532 43 36 True
11 499.947 21 2442532 43 36 True
11 499.959 22 2442532 43 36 True
11 499.971 23 2442532 43 36 True
11 506.048 24 2442532 47 36 True
11 519.097 25 2442532 50 36 True
