ID TIME CPU RAM KB
1 1.004 15.9 70.8 180
1 11.046 2.0 72.1 180
1 21.1 3.4 70.7 180
1 31.142 2.1 70.8 184
1 41.17 1.5 71.0 184
1 51.218 2.3 71.1 184
1 61.246 2.2 71.2 188
1 71.317 1.8 71.3 188
1 81.369 1.9 71.4 192
1 91.416 2.0 71.4 200
1 101.449 2.1 71.8 200
1 111.495 4.8 71.5 204
1 121.524 7.0 71.5 208
1 131.602 3.2 71.6 208
1 141.626 3.7 71.6 208
1 151.689 1.9 71.5 220
1 161.719 6.8 71.5 220
1 171.765 10.5 71.6 220
1 181.797 8.9 71.7 220
1 191.825 9.4 71.8 220
1 201.855 7.0 71.9 220
1 211.886 5.3 71.9 220
1 221.969 6.3 71.8 232
1 232.04 5.1 71.8 232
1 242.069 5.7 71.9 232
1 252.116 6.3 72.0 236
1 262.139 4.8 72.1 236
1 272.163 3.4 72.0 236
1 282.188 4.2 72.1 236
1 292.209 9.1 72.3 236
1 302.264 13.4 72.4 240
1 312.291 6.0 72.3 240
