ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
1 1.026 1 0 0 0 False
1 14.064 1 0 0 0 False
1 14.077 2 0 0 0 False
1 29.137 3 0 0 0 False
1 44.194 4 0 0 0 False
1 61.274 5 0 2 0 False
1 65.295 5 0 1 0 False
1 75.346 6 0 6 0 False
1 89.403 7 0 9 0 False
1 107.476 7 2640363 12 8 False
1 107.488 8 2640363 12 8 False
1 121.575 9 2640363 13 8 False
1 148.656 9 2368394 19 15 False
1 148.668 10 2368394 19 15 False
1 148.681 11 2368394 19 15 False
1 164.745 12 2368394 22 15 False
1 215.912 12 2407187 27 23 False
1 215.927 13 2407187 27 23 False
1 215.941 14 2407187 27 23 False
1 215.953 15 2407187 27 23 False
1 228.027 16 2407187 30 23 False
1 244.091 17 2407187 35 23 False
1 293.229 18 2409564 42 39 True
1 293.242 19 2409564 42 39 True
