ID TIME CPU RAM KB
10 1.003 14.6 74.9 180
10 11.049 2.2 75.0 180
10 21.084 2.3 75.0 180
10 31.115 4.0 75.2 180
10 41.147 2.4 75.3 180
10 51.181 2.1 75.4 184
10 61.304 2.3 75.6 184
10 71.339 2.4 75.6 184
10 81.37 3.0 75.8 184
10 91.452 2.8 76.0 184
10 101.485 2.8 76.3 184
10 111.551 2.0 75.7 188
10 121.586 1.9 75.7 188
10 131.619 2.2 75.7 188
10 141.648 2.2 75.8 188
10 151.686 3.8 75.9 192
10 161.709 2.4 76.1 192
10 171.734 2.2 76.2 192
10 181.764 2.2 76.1 192
10 191.784 2.5 76.2 192
10 201.804 2.4 76.4 192
10 211.824 2.2 76.5 192
10 221.843 2.6 76.4 192
10 231.977 2.8 76.3 204
10 242.003 2.3 76.3 208
10 252.027 2.3 76.4 208
10 262.05 2.6 76.5 208
10 272.074 3.7 79.2 208
10 282.104 2.7 76.6 208
10 292.179 2.2 76.6 212
10 302.204 2.6 76.5 212
10 312.236 2.5 76.6 212
10 322.258 2.0 76.9 212
10 332.281 3.0 77.1 212
10 342.371 2.5 77.3 236
10 352.402 2.3 77.3 236
10 362.426 2.2 77.3 236
10 372.458 2.1 77.3 236
10 382.489 2.2 77.5 236
10 392.513 3.3 77.4 236
10 402.533 21.0 77.3 236
10 412.564 2.1 77.3 236
10 422.624 2.1 77.3 248
10 432.651 2.0 77.2 248
10 442.7 2.3 77.4 256
10 452.728 2.5 77.7 256
10 462.754 2.0 77.9 256
10 472.772 2.3 77.8 256
10 482.79 2.0 77.7 256
10 492.807 2.3 77.5 256
10 502.889 2.5 77.5 288
10 512.964 2.2 77.6 288
10 522.992 3.1 77.6 288
10 533.026 1.3 77.7 288
10 543.06 1.4 77.7 288
10 553.091 1.4 77.5 288
10 563.122 1.5 77.6 288
10 573.153 1.5 77.7 288
10 583.186 1.3 77.7 288
10 593.219 1.4 77.7 288
10 603.254 1.3 77.5 288
10 613.285 1.4 77.4 288
10 623.319 1.7 77.5 288
10 633.354 1.5 77.6 288
10 643.386 3.0 77.6 288
10 653.418 1.3 77.5 288
10 663.444 1.4 77.5 288
10 673.476 1.2 77.4 288
10 683.509 1.5 77.4 288
10 693.542 1.5 77.4 288
10 703.576 1.8 77.4 288
10 713.605 1.4 77.3 288
10 723.635 1.3 77.4 288
10 733.664 1.3 77.4 288
10 743.695 1.4 77.6 288
10 753.725 1.3 77.6 288
10 763.75 2.0 78.4 288
10 773.779 3.0 77.3 288
10 783.806 1.3 77.3 288
10 793.837 1.4 77.4 288
10 803.87 1.5 77.6 288
10 813.901 1.8 77.6 288
10 823.935 1.6 77.4 288
10 833.966 2.6 77.3 288
10 843.99 5.2 76.3 288
10 854.023 2.2 76.6 288
10 864.054 3.7 76.7 288
10 874.08 3.4 76.8 288
10 884.101 4.9 76.6 288
10 894.129 4.7 76.6 288
10 904.155 2.8 76.6 288
10 914.186 3.7 76.7 288
10 924.22 4.4 76.8 288
10 934.25 12.0 77.6 288
