ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
5 1.022 1 0 0 0 False
5 14.065 1 0 0 0 False
5 15.118 2 0 0 0 False
5 32.188 3 0 0 0 False
5 83.336 3 0 6 0 False
5 83.348 4 0 6 0 False
5 83.36 5 0 6 0 False
5 83.372 6 0 6 0 False
5 90.403 7 0 9 0 False
5 105.465 8 2640363 12 8 False
5 108.484 8 2709130 12 8 False
5 120.574 9 2709130 14 8 False
5 161.706 10 2368394 19 15 False
5 161.728 11 2368394 19 15 False
5 183.807 12 2368394 22 15 False
5 183.819 13 2368394 22 15 False
5 198.885 14 2368394 25 15 False
5 212.955 15 2407187 27 23 False
5 229.008 16 2407187 30 23 False
5 245.09 17 2407187 35 23 False
5 269.169 18 2393981 40 31 True
5 275.202 19 2404889 43 39 True
5 288.253 20 2404889 44 39 True
