ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
9 1.038 1 0 0 0 False
9 80.328 1 0 0 0 False
9 80.346 2 0 0 0 False
9 80.359 3 0 0 0 False
9 80.372 4 0 0 0 False
9 81.431 5 0 0 0 False
9 121.558 4 0 9 0 False
9 121.572 5 0 9 0 False
9 121.584 6 0 9 0 False
9 121.596 7 0 9 0 False
9 121.609 8 0 9 0 False
9 221.936 6 0 14 0 False
9 221.954 7 0 14 0 False
9 221.967 8 0 14 0 False
9 221.978 9 0 14 0 False
9 221.99 10 0 14 0 False
9 261.151 11 2342670 21 12 False
9 275.213 12 2342670 21 12 False
9 294.287 13 2342670 21 12 False
9 325.424 14 2342670 28 12 False
9 325.442 15 2342670 28 12 False
9 344.519 16 2438665 30 24 False
9 355.572 17 2438665 31 24 False
9 402.716 18 2438665 35 24 False
9 424.805 19 2438665 35 24 False
9 441.869 20 2438665 38 24 False
9 456.97 21 2442532 41 36 True
