ID TIME TELAPSED TIMESTAMP BLOCK SIZE TXS UNC
9 1.038 2.1952645778656006 1754764435 1 610 0 0
9 80.328 81.48596835136414 1754764435 1 610 0 0
9 80.346 66.50387072563171 1754764450 2 927 3 0
9 80.359 51.51699781417847 1754764465 3 1031 4 0
9 80.372 30.52975845336914 1754764486 4 610 0 0
9 81.431 1.588165283203125 1754764516 5 610 0 0
9 121.558 77.7159070968628 1754764480 4 1031 4 0
9 121.572 62.72995114326477 1754764495 5 1050 3 0
9 121.584 41.74193525314331 1754764516 6 1655 10 0
9 121.596 26.753981351852417 1754764531 7 2213 13 0
9 121.609 1.7661945819854736 1754764556 8 1031 4 0
9 221.937 82.0940752029419 1754764576 6 717 1 0
9 221.954 67.11193752288818 1754764591 7 4334 33 0
9 221.967 52.12417387962341 1754764606 8 2005 11 0
9 221.978 37.13600564002991 1754764621 9 759 1 0
9 221.99 1.1478674411773682 1754764657 10 610 0 0
9 261.151 25.308323860168457 1754764672 11 5789 47 0
9 275.213 24.370224952697754 1754764687 12 610 0 0
9 294.287 1.4446730613708496 1754764729 13 3733 30 0
9 325.424 17.58193063735962 1754764744 14 3315 24 0
9 325.442 2.599550724029541 1754764759 15 1736 10 0
9 344.519 6.6762375831604 1754764774 16 1633 9 0
9 355.572 2.729874610900879 1754764789 17 1280 6 0
9 402.716 0.8734893798828125 1754764838 18 2339 15 0
9 424.805 0.9621849060058594 1754764860 19 2383 17 0
9 441.869 1.0268502235412598 1754764877 20 6874 59 0
9 456.97 1.1280224323272705 1754764892 21 3546 27 0
