ID TIME CPU RAM KB
9 1.008 17.0 74.9 180
9 11.068 2.2 75.0 180
9 21.1 2.3 75.0 180
9 31.129 4.0 75.2 180
9 41.162 2.4 75.3 180
9 51.191 2.2 75.4 180
9 61.221 2.3 75.6 180
9 71.253 2.4 75.6 180
9 81.382 3.1 75.8 184
9 91.453 2.9 76.0 184
9 101.477 2.7 76.2 184
9 111.505 2.1 75.7 184
9 121.537 1.9 75.7 196
9 131.629 2.2 75.8 196
9 141.658 2.1 75.9 196
9 151.683 4.0 76.0 196
9 161.713 2.2 76.1 196
9 171.742 2.3 76.0 196
9 181.774 2.2 76.1 196
9 191.8 2.4 76.3 196
9 201.831 2.4 76.4 196
9 211.855 2.3 76.5 196
9 221.884 2.5 76.4 212
9 232.014 2.8 76.3 212
9 242.042 2.3 76.3 212
9 252.074 2.2 76.4 212
9 262.16 2.6 76.5 220
9 272.183 4.0 76.6 224
9 282.234 2.4 76.6 224
9 292.267 2.2 76.6 224
9 302.305 2.5 76.5 228
9 312.334 2.5 76.7 228
9 322.366 2.0 76.9 228
9 332.457 3.2 77.1 244
9 342.489 2.4 77.3 244
9 352.547 2.3 77.3 244
9 362.585 2.3 77.3 248
9 372.603 2.1 77.3 248
9 382.628 2.3 77.4 248
9 392.652 4.0 77.7 248
9 402.681 20.1 77.3 252
9 412.744 2.1 77.3 252
9 422.775 2.2 77.3 252
9 432.83 2.0 77.2 256
9 442.879 2.3 77.4 264
9 452.907 2.4 77.6 264
9 462.99 2.0 77.8 268
9 473.021 2.2 77.8 268
9 483.046 2.1 77.7 268
9 493.074 2.3 77.5 268
9 503.097 2.6 77.5 268
9 513.129 2.2 77.6 268
9 523.153 3.2 77.6 268
9 533.186 1.3 77.7 268
9 543.22 1.4 77.7 268
9 553.254 1.4 77.6 268
9 563.289 1.5 77.6 268
9 573.321 1.5 77.7 268
9 583.354 1.3 77.7 268
9 593.381 1.4 77.7 268
9 603.412 1.3 77.5 268
9 613.439 1.4 77.4 268
9 623.47 1.7 77.5 268
9 633.503 1.5 77.6 268
9 643.534 3.0 77.6 268
9 653.567 1.3 77.5 268
9 663.602 1.3 77.5 268
9 673.636 1.3 77.4 268
9 683.668 1.5 77.4 268
9 693.702 1.5 77.4 268
9 703.731 1.8 77.3 268
9 713.759 1.3 77.3 268
9 723.792 1.3 77.4 268
9 733.829 1.3 77.4 268
9 743.863 1.3 77.6 268
9 753.896 1.4 77.6 268
9 763.921 2.2 78.8 268
9 773.95 2.8 77.3 268
9 783.985 1.3 77.3 268
9 794.016 1.4 77.4 268
9 804.048 1.5 77.6 268
9 814.077 1.8 77.7 268
9 824.106 1.6 77.4 268
9 834.14 2.6 77.3 268
9 844.166 5.7 76.5 268
9 854.189 2.0 76.7 268
9 864.219 3.4 76.7 268
9 874.243 3.5 76.8 268
9 884.272 5.0 76.7 268
9 894.302 4.5 76.6 268
9 904.332 2.8 76.6 268
9 914.361 3.8 76.7 268
9 924.385 5.1 76.8 268
9 934.407 11.9 77.8 268
