ID TIME BLOCK MEAN VOTECOUNT VOTEOKCOUNT C?
4 1.022 1 0 0 0 False
4 28.116 1 0 0 0 False
4 28.128 2 0 0 0 False
4 29.142 3 0 0 0 False
4 44.208 4 0 0 0 False
4 61.257 5 0 2 0 False
4 65.298 5 0 1 0 False
4 75.344 6 0 6 0 False
4 90.433 7 0 9 0 False
4 90.472 7 0 9 0 False
4 104.537 8 2709130 12 8 False
4 119.59 9 2709130 14 8 False
4 134.662 10 2709130 18 8 False
4 149.724 11 2368394 19 15 False
4 184.878 12 2368394 22 15 False
4 184.895 13 2368394 22 15 False
4 198.948 14 2368394 25 15 False
4 213.049 15 2407187 27 23 False
4 229.149 16 2407187 30 23 False
4 244.211 17 2407187 35 23 False
4 260.25 18 2393981 37 31 True
4 274.31 19 2409564 42 39 True
4 290.371 20 2409564 45 39 True
