ID TIME CPU RAM KB
4 1.004 14.4 70.8 176
4 11.047 1.9 71.9 176
4 21.077 3.5 70.7 176
4 31.148 2.0 70.8 184
4 41.181 1.6 71.0 184
4 51.22 2.3 71.1 184
4 61.239 2.2 71.1 184
4 71.319 1.8 71.3 188
4 81.359 1.9 71.4 192
4 91.482 2.0 71.4 200
4 101.515 2.1 71.8 200
4 111.551 4.8 71.5 208
4 121.603 6.9 71.6 208
4 131.636 3.2 71.6 208
4 141.683 3.7 71.7 212
4 151.73 1.9 71.5 212
4 161.758 6.8 71.5 212
4 171.789 10.3 71.6 212
4 181.819 9.0 71.7 212
4 191.911 9.3 71.8 216
4 201.964 7.2 71.9 220
4 211.994 5.3 71.9 220
4 222.078 6.3 71.8 224
4 232.161 4.9 71.8 224
4 242.185 5.8 71.9 224
4 252.223 6.3 72.0 228
4 262.261 4.8 72.1 232
4 272.287 3.3 72.0 232
4 282.334 4.3 72.1 236
4 292.376 9.0 72.3 236
4 302.405 13.5 72.4 236
4 312.429 6.1 72.3 236
